
Komşu olmayan ilçeler arasındaki mesafeler:
Aliağa (0) - Balçova (1): Tanımlı = 91 km, Hesaplanan = 76 km, Fark = 15 km
Dikili (10) - Konak (20): Tanımlı = 123 km, Hesaplanan = 119 km, Fark = 4 km
Dikili (10) - Menderes (21): Tanımlı = 155 km, Hesaplanan = 151 km, Fark = 4 km
Dikili (10) - Menemen (22): Tanımlı = 85 km, Hesaplanan = 85 km, Fark = 0 km
Dikili (10) - Narlıdere (23): Tanımlı = 155 km, Hesaplanan = 140 km, Fark = 15 km
Dikili (10) - Ödemiş (24): Tanımlı = 220 km, Hesaplanan = 216 km, Fark = 4 km
Dikili (10) - Seferihisar (25): Tanımlı = 186 km, Hesaplanan = 171 km, Fark = 15 km
Dikili (10) - Selçuk (26): Tanımlı = 188 km, Hesaplanan = 184 km, Fark = 4 km
Dikili (10) - Tire (27): Tanımlı = 197 km, Hesaplanan = 193 km, Fark = 4 km
Dikili (10) - Torbalı (28): Tanımlı = 159 km, Hesaplanan = 155 km, Fark = 4 km
Dikili (10) - Urla (29): Tanımlı = 179 km, Hesaplanan = 163 km, Fark = 16 km
Foça (11) - Balçova (1): Tanımlı = 97 km, Hesaplanan = 83 km, Fark = 14 km
Foça (11) - Bayındır (2): Tanımlı = 130 km, Hesaplanan = 128 km, Fark = 2 km
Foça (11) - Bayraklı (3): Tanımlı = 61 km, Hesaplanan = 59 km, Fark = 2 km
Foça (11) - Bergama (4): Tanımlı = 88 km, Hesaplanan = 88 km, Fark = 0 km
Foça (11) - Beydağ (5): Tanımlı = 194 km, Hesaplanan = 192 km, Fark = 2 km
Foça (11) - Bornova (6): Tanımlı = 67 km, Hesaplanan = 65 km, Fark = 2 km
Foça (11) - Buca (7): Tanımlı = 82 km, Hesaplanan = 76 km, Fark = 6 km
Foça (11) - Çeşme (8): Tanımlı = 171 km, Hesaplanan = 157 km, Fark = 14 km
Foça (11) - Çiğli (9): Tanımlı = 48 km, Hesaplanan = 48 km, Fark = 0 km
Foça (11) - Dikili (10): Tanımlı = 100 km, Hesaplanan = 100 km, Fark = 0 km
Foça (11) - Gaziemir (12): Tanımlı = 86 km, Hesaplanan = 73 km, Fark = 13 km
Foça (11) - Güzelbahçe (13): Tanımlı = 113 km, Hesaplanan = 100 km, Fark = 13 km
Foça (11) - Karabağlar (14): Tanımlı = 89 km, Hesaplanan = 69 km, Fark = 20 km
Foça (11) - Karaburun (15): Tanımlı = 188 km, Hesaplanan = 174 km, Fark = 14 km
Foça (11) - Karşıyaka (16): Tanımlı = 56 km, Hesaplanan = 54 km, Fark = 2 km
Foça (11) - Kemalpaşa (17): Tanımlı = 85 km, Hesaplanan = 83 km, Fark = 2 km
Foça (11) - Kınık (18): Tanımlı = 104 km, Hesaplanan = 104 km, Fark = 0 km
Foça (11) - Kiraz (19): Tanımlı = 195 km, Hesaplanan = 192 km, Fark = 3 km
Foça (11) - Konak (20): Tanımlı = 69 km, Hesaplanan = 67 km, Fark = 2 km
Foça (11) - Menderes (21): Tanımlı = 102 km, Hesaplanan = 99 km, Fark = 3 km
Foça (11) - Narlıdere (23): Tanımlı = 102 km, Hesaplanan = 88 km, Fark = 14 km
Foça (11) - Ödemiş (24): Tanımlı = 166 km, Hesaplanan = 164 km, Fark = 2 km
Foça (11) - Seferihisar (25): Tanımlı = 133 km, Hesaplanan = 119 km, Fark = 14 km
Foça (11) - Selçuk (26): Tanımlı = 135 km, Hesaplanan = 132 km, Fark = 3 km
Foça (11) - Tire (27): Tanımlı = 143 km, Hesaplanan = 141 km, Fark = 2 km
Foça (11) - Torbalı (28): Tanımlı = 106 km, Hesaplanan = 103 km, Fark = 3 km
Foça (11) - Urla (29): Tanımlı = 125 km, Hesaplanan = 111 km, Fark = 14 km
Gaziemir (12) - Aliağa (0): Tanımlı = 80 km, Hesaplanan = 66 km, Fark = 14 km
Gaziemir (12) - Balçova (1): Tanımlı = 11 km, Hesaplanan = 11 km, Fark = 0 km
Gaziemir (12) - Bayındır (2): Tanımlı = 64 km, Hesaplanan = 64 km, Fark = 0 km
Gaziemir (12) - Bayraklı (3): Tanımlı = 26 km, Hesaplanan = 14 km, Fark = 12 km
Gaziemir (12) - Bergama (4): Tanımlı = 127 km, Hesaplanan = 113 km, Fark = 14 km
Gaziemir (12) - Beydağ (5): Tanımlı = 127 km, Hesaplanan = 127 km, Fark = 0 km
Gaziemir (12) - Bornova (6): Tanımlı = 24 km, Hesaplanan = 19 km, Fark = 5 km
Gaziemir (12) - Çeşme (8): Tanımlı = 85 km, Hesaplanan = 85 km, Fark = 0 km
Gaziemir (12) - Çiğli (9): Tanımlı = 36 km, Hesaplanan = 25 km, Fark = 11 km
Gaziemir (12) - Dikili (10): Tanımlı = 140 km, Hesaplanan = 125 km, Fark = 15 km
Gaziemir (12) - Foça (11): Tanımlı = 86 km, Hesaplanan = 73 km, Fark = 13 km
Gaziemir (12) - Güzelbahçe (13): Tanımlı = 27 km, Hesaplanan = 27 km, Fark = 0 km
Gaziemir (12) - Karaburun (15): Tanımlı = 102 km, Hesaplanan = 102 km, Fark = 0 km
Gaziemir (12) - Karşıyaka (16): Tanımlı = 31 km, Hesaplanan = 19 km, Fark = 12 km
Gaziemir (12) - Kemalpaşa (17): Tanımlı = 39 km, Hesaplanan = 37 km, Fark = 2 km
Gaziemir (12) - Kınık (18): Tanımlı = 144 km, Hesaplanan = 129 km, Fark = 15 km
Gaziemir (12) - Kiraz (19): Tanımlı = 128 km, Hesaplanan = 128 km, Fark = 0 km
Gaziemir (12) - Konak (20): Tanımlı = 6 km, Hesaplanan = 6 km, Fark = 0 km
Gaziemir (12) - Menemen (22): Tanımlı = 54 km, Hesaplanan = 40 km, Fark = 14 km
Gaziemir (12) - Narlıdere (23): Tanımlı = 16 km, Hesaplanan = 16 km, Fark = 0 km
Gaziemir (12) - Ödemiş (24): Tanımlı = 100 km, Hesaplanan = 100 km, Fark = 0 km
Gaziemir (12) - Seferihisar (25): Tanımlı = 47 km, Hesaplanan = 47 km, Fark = 0 km
Gaziemir (12) - Selçuk (26): Tanımlı = 68 km, Hesaplanan = 68 km, Fark = 0 km
Gaziemir (12) - Tire (27): Tanımlı = 77 km, Hesaplanan = 77 km, Fark = 0 km
Gaziemir (12) - Torbalı (28): Tanımlı = 39 km, Hesaplanan = 39 km, Fark = 0 km
Gaziemir (12) - Urla (29): Tanımlı = 39 km, Hesaplanan = 39 km, Fark = 0 km
Güzelbahçe (13) - Aliağa (0): Tanımlı = 107 km, Hesaplanan = 93 km, Fark = 14 km
Güzelbahçe (13) - Balçova (1): Tanımlı = 17 km, Hesaplanan = 17 km, Fark = 0 km
Güzelbahçe (13) - Bayındır (2): Tanımlı = 91 km, Hesaplanan = 91 km, Fark = 0 km
Güzelbahçe (13) - Bayraklı (3): Tanımlı = 53 km, Hesaplanan = 41 km, Fark = 12 km
Güzelbahçe (13) - Bergama (4): Tanımlı = 154 km, Hesaplanan = 140 km, Fark = 14 km
Güzelbahçe (13) - Beydağ (5): Tanımlı = 155 km, Hesaplanan = 154 km, Fark = 1 km
Güzelbahçe (13) - Bornova (6): Tanımlı = 51 km, Hesaplanan = 46 km, Fark = 5 km
Güzelbahçe (13) - Buca (7): Tanımlı = 31 km, Hesaplanan = 31 km, Fark = 0 km
Güzelbahçe (13) - Çeşme (8): Tanımlı = 59 km, Hesaplanan = 59 km, Fark = 0 km
Güzelbahçe (13) - Çiğli (9): Tanımlı = 63 km, Hesaplanan = 52 km, Fark = 11 km
Güzelbahçe (13) - Dikili (10): Tanımlı = 167 km, Hesaplanan = 152 km, Fark = 15 km
Güzelbahçe (13) - Foça (11): Tanımlı = 113 km, Hesaplanan = 100 km, Fark = 13 km
Güzelbahçe (13) - Gaziemir (12): Tanımlı = 27 km, Hesaplanan = 27 km, Fark = 0 km
Güzelbahçe (13) - Karaburun (15): Tanımlı = 76 km, Hesaplanan = 76 km, Fark = 0 km
Güzelbahçe (13) - Karşıyaka (16): Tanımlı = 58 km, Hesaplanan = 46 km, Fark = 12 km
Güzelbahçe (13) - Kemalpaşa (17): Tanımlı = 66 km, Hesaplanan = 64 km, Fark = 2 km
Güzelbahçe (13) - Kınık (18): Tanımlı = 171 km, Hesaplanan = 156 km, Fark = 15 km
Güzelbahçe (13) - Kiraz (19): Tanımlı = 155 km, Hesaplanan = 155 km, Fark = 0 km
Güzelbahçe (13) - Konak (20): Tanımlı = 33 km, Hesaplanan = 33 km, Fark = 0 km
Güzelbahçe (13) - Menderes (21): Tanımlı = 62 km, Hesaplanan = 62 km, Fark = 0 km
Güzelbahçe (13) - Menemen (22): Tanımlı = 81 km, Hesaplanan = 67 km, Fark = 14 km
Güzelbahçe (13) - Ödemiş (24): Tanımlı = 127 km, Hesaplanan = 127 km, Fark = 0 km
Güzelbahçe (13) - Selçuk (26): Tanımlı = 96 km, Hesaplanan = 92 km, Fark = 4 km
Güzelbahçe (13) - Tire (27): Tanımlı = 104 km, Hesaplanan = 104 km, Fark = 0 km
Güzelbahçe (13) - Torbalı (28): Tanımlı = 66 km, Hesaplanan = 66 km, Fark = 0 km
Karabağlar (14) - Aliağa (0): Tanımlı = 83 km, Hesaplanan = 62 km, Fark = 21 km
Karabağlar (14) - Bayındır (2): Tanımlı = 67 km, Hesaplanan = 67 km, Fark = 0 km
Karabağlar (14) - Bayraklı (3): Tanımlı = 11 km, Hesaplanan = 10 km, Fark = 1 km
Karabağlar (14) - Bergama (4): Tanımlı = 131 km, Hesaplanan = 109 km, Fark = 22 km
Karabağlar (14) - Beydağ (5): Tanımlı = 131 km, Hesaplanan = 131 km, Fark = 0 km
Karabağlar (14) - Bornova (6): Tanımlı = 27 km, Hesaplanan = 15 km, Fark = 12 km
Karabağlar (14) - Çeşme (8): Tanımlı = 89 km, Hesaplanan = 88 km, Fark = 1 km
Karabağlar (14) - Çiğli (9): Tanımlı = 39 km, Hesaplanan = 21 km, Fark = 18 km
Karabağlar (14) - Dikili (10): Tanımlı = 143 km, Hesaplanan = 121 km, Fark = 22 km
Karabağlar (14) - Foça (11): Tanımlı = 89 km, Hesaplanan = 69 km, Fark = 20 km
Karabağlar (14) - Karaburun (15): Tanımlı = 106 km, Hesaplanan = 105 km, Fark = 1 km
Karabağlar (14) - Karşıyaka (16): Tanımlı = 15 km, Hesaplanan = 15 km, Fark = 0 km
Karabağlar (14) - Kemalpaşa (17): Tanımlı = 43 km, Hesaplanan = 33 km, Fark = 10 km
Karabağlar (14) - Kınık (18): Tanımlı = 147 km, Hesaplanan = 125 km, Fark = 22 km
Karabağlar (14) - Kiraz (19): Tanımlı = 131 km, Hesaplanan = 131 km, Fark = 0 km
Karabağlar (14) - Menemen (22): Tanımlı = 57 km, Hesaplanan = 36 km, Fark = 21 km
Karabağlar (14) - Ödemiş (24): Tanımlı = 103 km, Hesaplanan = 103 km, Fark = 0 km
Karabağlar (14) - Selçuk (26): Tanımlı = 72 km, Hesaplanan = 72 km, Fark = 0 km
Karabağlar (14) - Tire (27): Tanımlı = 80 km, Hesaplanan = 80 km, Fark = 0 km
Karabağlar (14) - Torbalı (28): Tanımlı = 43 km, Hesaplanan = 43 km, Fark = 0 km
Karabağlar (14) - Urla (29): Tanımlı = 43 km, Hesaplanan = 42 km, Fark = 1 km
Karaburun (15) - Aliağa (0): Tanımlı = 182 km, Hesaplanan = 167 km, Fark = 15 km
Karaburun (15) - Balçova (1): Tanımlı = 91 km, Hesaplanan = 91 km, Fark = 0 km
Karaburun (15) - Bayındır (2): Tanımlı = 166 km, Hesaplanan = 165 km, Fark = 1 km
Karaburun (15) - Bayraklı (3): Tanımlı = 128 km, Hesaplanan = 115 km, Fark = 13 km
Karaburun (15) - Bergama (4): Tanımlı = 229 km, Hesaplanan = 214 km, Fark = 15 km
Karaburun (15) - Beydağ (5): Tanımlı = 229 km, Hesaplanan = 229 km, Fark = 0 km
Karaburun (15) - Bornova (6): Tanımlı = 126 km, Hesaplanan = 120 km, Fark = 6 km
Karaburun (15) - Buca (7): Tanımlı = 106 km, Hesaplanan = 105 km, Fark = 1 km
Karaburun (15) - Çeşme (8): Tanımlı = 87 km, Hesaplanan = 87 km, Fark = 0 km
Karaburun (15) - Çiğli (9): Tanımlı = 138 km, Hesaplanan = 126 km, Fark = 12 km
Karaburun (15) - Dikili (10): Tanımlı = 242 km, Hesaplanan = 226 km, Fark = 16 km
Karaburun (15) - Foça (11): Tanımlı = 188 km, Hesaplanan = 174 km, Fark = 14 km
Karaburun (15) - Gaziemir (12): Tanımlı = 102 km, Hesaplanan = 102 km, Fark = 0 km
Karaburun (15) - Güzelbahçe (13): Tanımlı = 76 km, Hesaplanan = 76 km, Fark = 0 km
Karaburun (15) - Karabağlar (14): Tanımlı = 106 km, Hesaplanan = 105 km, Fark = 1 km
Karaburun (15) - Karşıyaka (16): Tanımlı = 133 km, Hesaplanan = 120 km, Fark = 13 km
Karaburun (15) - Kemalpaşa (17): Tanımlı = 141 km, Hesaplanan = 138 km, Fark = 3 km
Karaburun (15) - Kınık (18): Tanımlı = 246 km, Hesaplanan = 230 km, Fark = 16 km
Karaburun (15) - Kiraz (19): Tanımlı = 230 km, Hesaplanan = 229 km, Fark = 1 km
Karaburun (15) - Konak (20): Tanımlı = 108 km, Hesaplanan = 107 km, Fark = 1 km
Karaburun (15) - Menderes (21): Tanımlı = 137 km, Hesaplanan = 137 km, Fark = 0 km
Karaburun (15) - Menemen (22): Tanımlı = 156 km, Hesaplanan = 141 km, Fark = 15 km
Karaburun (15) - Narlıdere (23): Tanımlı = 88 km, Hesaplanan = 88 km, Fark = 0 km
Karaburun (15) - Ödemiş (24): Tanımlı = 202 km, Hesaplanan = 201 km, Fark = 1 km
Karaburun (15) - Seferihisar (25): Tanımlı = 95 km, Hesaplanan = 95 km, Fark = 0 km
Karaburun (15) - Selçuk (26): Tanımlı = 170 km, Hesaplanan = 167 km, Fark = 3 km
Karaburun (15) - Tire (27): Tanımlı = 179 km, Hesaplanan = 178 km, Fark = 1 km
Karaburun (15) - Torbalı (28): Tanımlı = 141 km, Hesaplanan = 141 km, Fark = 0 km
Karşıyaka (16) - Aliağa (0): Tanımlı = 50 km, Hesaplanan = 47 km, Fark = 3 km
Karşıyaka (16) - Balçova (1): Tanımlı = 42 km, Hesaplanan = 29 km, Fark = 13 km
Karşıyaka (16) - Bayındır (2): Tanımlı = 75 km, Hesaplanan = 75 km, Fark = 0 km
Karşıyaka (16) - Bergama (4): Tanımlı = 98 km, Hesaplanan = 94 km, Fark = 4 km
Karşıyaka (16) - Beydağ (5): Tanımlı = 139 km, Hesaplanan = 139 km, Fark = 0 km
Karşıyaka (16) - Buca (7): Tanımlı = 27 km, Hesaplanan = 22 km, Fark = 5 km
Karşıyaka (16) - Çeşme (8): Tanımlı = 116 km, Hesaplanan = 103 km, Fark = 13 km
Karşıyaka (16) - Dikili (10): Tanımlı = 110 km, Hesaplanan = 106 km, Fark = 4 km
Karşıyaka (16) - Foça (11): Tanımlı = 56 km, Hesaplanan = 54 km, Fark = 2 km
Karşıyaka (16) - Gaziemir (12): Tanımlı = 31 km, Hesaplanan = 19 km, Fark = 12 km
Karşıyaka (16) - Güzelbahçe (13): Tanımlı = 58 km, Hesaplanan = 46 km, Fark = 12 km
Karşıyaka (16) - Karabağlar (14): Tanımlı = 15 km, Hesaplanan = 15 km, Fark = 0 km
Karşıyaka (16) - Karaburun (15): Tanımlı = 133 km, Hesaplanan = 120 km, Fark = 13 km
Karşıyaka (16) - Kemalpaşa (17): Tanımlı = 30 km, Hesaplanan = 30 km, Fark = 0 km
Karşıyaka (16) - Kınık (18): Tanımlı = 114 km, Hesaplanan = 110 km, Fark = 4 km
Karşıyaka (16) - Kiraz (19): Tanımlı = 140 km, Hesaplanan = 139 km, Fark = 1 km
Karşıyaka (16) - Konak (20): Tanımlı = 13 km, Hesaplanan = 13 km, Fark = 0 km
Karşıyaka (16) - Menderes (21): Tanımlı = 47 km, Hesaplanan = 47 km, Fark = 0 km
Karşıyaka (16) - Narlıdere (23): Tanımlı = 47 km, Hesaplanan = 34 km, Fark = 13 km
Karşıyaka (16) - Ödemiş (24): Tanımlı = 111 km, Hesaplanan = 111 km, Fark = 0 km
Karşıyaka (16) - Seferihisar (25): Tanımlı = 78 km, Hesaplanan = 65 km, Fark = 13 km
Karşıyaka (16) - Selçuk (26): Tanımlı = 80 km, Hesaplanan = 80 km, Fark = 0 km
Karşıyaka (16) - Tire (27): Tanımlı = 89 km, Hesaplanan = 89 km, Fark = 0 km
Karşıyaka (16) - Torbalı (28): Tanımlı = 51 km, Hesaplanan = 51 km, Fark = 0 km
Karşıyaka (16) - Urla (29): Tanımlı = 70 km, Hesaplanan = 57 km, Fark = 13 km
Kemalpaşa (17) - Aliağa (0): Tanımlı = 79 km, Hesaplanan = 76 km, Fark = 3 km
Kemalpaşa (17) - Balçova (1): Tanımlı = 50 km, Hesaplanan = 47 km, Fark = 3 km
Kemalpaşa (17) - Bayraklı (3): Tanımlı = 25 km, Hesaplanan = 25 km, Fark = 0 km
Kemalpaşa (17) - Bergama (4): Tanımlı = 127 km, Hesaplanan = 123 km, Fark = 4 km
Kemalpaşa (17) - Beydağ (5): Tanımlı = 124 km, Hesaplanan = 124 km, Fark = 0 km
Kemalpaşa (17) - Çeşme (8): Tanımlı = 124 km, Hesaplanan = 121 km, Fark = 3 km
Kemalpaşa (17) - Çiğli (9): Tanımlı = 35 km, Hesaplanan = 35 km, Fark = 0 km
Kemalpaşa (17) - Dikili (10): Tanımlı = 139 km, Hesaplanan = 135 km, Fark = 4 km
Kemalpaşa (17) - Foça (11): Tanımlı = 85 km, Hesaplanan = 83 km, Fark = 2 km
Kemalpaşa (17) - Gaziemir (12): Tanımlı = 39 km, Hesaplanan = 37 km, Fark = 2 km
Kemalpaşa (17) - Güzelbahçe (13): Tanımlı = 66 km, Hesaplanan = 64 km, Fark = 2 km
Kemalpaşa (17) - Karabağlar (14): Tanımlı = 43 km, Hesaplanan = 33 km, Fark = 10 km
Kemalpaşa (17) - Karaburun (15): Tanımlı = 141 km, Hesaplanan = 138 km, Fark = 3 km
Kemalpaşa (17) - Karşıyaka (16): Tanımlı = 30 km, Hesaplanan = 30 km, Fark = 0 km
Kemalpaşa (17) - Kınık (18): Tanımlı = 143 km, Hesaplanan = 139 km, Fark = 4 km
Kemalpaşa (17) - Kiraz (19): Tanımlı = 124 km, Hesaplanan = 124 km, Fark = 0 km
Kemalpaşa (17) - Konak (20): Tanımlı = 31 km, Hesaplanan = 31 km, Fark = 0 km
Kemalpaşa (17) - Menderes (21): Tanımlı = 55 km, Hesaplanan = 55 km, Fark = 0 km
Kemalpaşa (17) - Menemen (22): Tanımlı = 53 km, Hesaplanan = 50 km, Fark = 3 km
Kemalpaşa (17) - Narlıdere (23): Tanımlı = 55 km, Hesaplanan = 52 km, Fark = 3 km
Kemalpaşa (17) - Ödemiş (24): Tanımlı = 96 km, Hesaplanan = 96 km, Fark = 0 km
Kemalpaşa (17) - Seferihisar (25): Tanımlı = 86 km, Hesaplanan = 83 km, Fark = 3 km
Kemalpaşa (17) - Selçuk (26): Tanımlı = 65 km, Hesaplanan = 65 km, Fark = 0 km
Kemalpaşa (17) - Tire (27): Tanımlı = 73 km, Hesaplanan = 73 km, Fark = 0 km
Kemalpaşa (17) - Urla (29): Tanımlı = 78 km, Hesaplanan = 75 km, Fark = 3 km
Kınık (18) - Aliağa (0): Tanımlı = 64 km, Hesaplanan = 64 km, Fark = 0 km
Kınık (18) - Balçova (1): Tanımlı = 154 km, Hesaplanan = 139 km, Fark = 15 km
Kınık (18) - Bayındır (2): Tanımlı = 188 km, Hesaplanan = 184 km, Fark = 4 km
Kınık (18) - Bayraklı (3): Tanımlı = 119 km, Hesaplanan = 115 km, Fark = 4 km
Kınık (18) - Beydağ (5): Tanımlı = 210 km, Hesaplanan = 210 km, Fark = 0 km
Kınık (18) - Bornova (6): Tanımlı = 125 km, Hesaplanan = 121 km, Fark = 4 km
Kınık (18) - Buca (7): Tanımlı = 140 km, Hesaplanan = 132 km, Fark = 8 km
Kınık (18) - Çeşme (8): Tanımlı = 229 km, Hesaplanan = 213 km, Fark = 16 km
Kınık (18) - Çiğli (9): Tanımlı = 104 km, Hesaplanan = 104 km, Fark = 0 km
Kınık (18) - Dikili (10): Tanımlı = 46 km, Hesaplanan = 46 km, Fark = 0 km
Kınık (18) - Foça (11): Tanımlı = 104 km, Hesaplanan = 104 km, Fark = 0 km
Kınık (18) - Gaziemir (12): Tanımlı = 144 km, Hesaplanan = 129 km, Fark = 15 km
Kınık (18) - Güzelbahçe (13): Tanımlı = 171 km, Hesaplanan = 156 km, Fark = 15 km
Kınık (18) - Karabağlar (14): Tanımlı = 147 km, Hesaplanan = 125 km, Fark = 22 km
Kınık (18) - Karaburun (15): Tanımlı = 246 km, Hesaplanan = 230 km, Fark = 16 km
Kınık (18) - Karşıyaka (16): Tanımlı = 114 km, Hesaplanan = 110 km, Fark = 4 km
Kınık (18) - Kemalpaşa (17): Tanımlı = 143 km, Hesaplanan = 139 km, Fark = 4 km
Kınık (18) - Kiraz (19): Tanımlı = 211 km, Hesaplanan = 211 km, Fark = 0 km
Kınık (18) - Konak (20): Tanımlı = 127 km, Hesaplanan = 123 km, Fark = 4 km
Kınık (18) - Menderes (21): Tanımlı = 160 km, Hesaplanan = 155 km, Fark = 5 km
Kınık (18) - Menemen (22): Tanımlı = 90 km, Hesaplanan = 90 km, Fark = 0 km
Kınık (18) - Narlıdere (23): Tanımlı = 160 km, Hesaplanan = 144 km, Fark = 16 km
Kınık (18) - Ödemiş (24): Tanımlı = 187 km, Hesaplanan = 187 km, Fark = 0 km
Kınık (18) - Seferihisar (25): Tanımlı = 191 km, Hesaplanan = 175 km, Fark = 16 km
Kınık (18) - Selçuk (26): Tanımlı = 193 km, Hesaplanan = 188 km, Fark = 5 km
Kınık (18) - Tire (27): Tanımlı = 201 km, Hesaplanan = 197 km, Fark = 4 km
Kınık (18) - Torbalı (28): Tanımlı = 163 km, Hesaplanan = 159 km, Fark = 4 km
Kınık (18) - Urla (29): Tanımlı = 183 km, Hesaplanan = 167 km, Fark = 16 km
Kiraz (19) - Aliağa (0): Tanımlı = 189 km, Hesaplanan = 185 km, Fark = 4 km
Kiraz (19) - Balçova (1): Tanımlı = 139 km, Hesaplanan = 138 km, Fark = 1 km
Kiraz (19) - Bayındır (2): Tanımlı = 64 km, Hesaplanan = 64 km, Fark = 0 km
Kiraz (19) - Bayraklı (3): Tanımlı = 135 km, Hesaplanan = 134 km, Fark = 1 km
Kiraz (19) - Bergama (4): Tanımlı = 236 km, Hesaplanan = 230 km, Fark = 6 km
Kiraz (19) - Bornova (6): Tanımlı = 132 km, Hesaplanan = 132 km, Fark = 0 km
Kiraz (19) - Buca (7): Tanımlı = 124 km, Hesaplanan = 124 km, Fark = 0 km
Kiraz (19) - Çeşme (8): Tanımlı = 213 km, Hesaplanan = 212 km, Fark = 1 km
Kiraz (19) - Çiğli (9): Tanımlı = 144 km, Hesaplanan = 144 km, Fark = 0 km
Kiraz (19) - Dikili (10): Tanımlı = 248 km, Hesaplanan = 244 km, Fark = 4 km
Kiraz (19) - Foça (11): Tanımlı = 195 km, Hesaplanan = 192 km, Fark = 3 km
Kiraz (19) - Gaziemir (12): Tanımlı = 128 km, Hesaplanan = 128 km, Fark = 0 km
Kiraz (19) - Güzelbahçe (13): Tanımlı = 155 km, Hesaplanan = 155 km, Fark = 0 km
Kiraz (19) - Karabağlar (14): Tanımlı = 131 km, Hesaplanan = 131 km, Fark = 0 km
Kiraz (19) - Karaburun (15): Tanımlı = 230 km, Hesaplanan = 229 km, Fark = 1 km
Kiraz (19) - Karşıyaka (16): Tanımlı = 140 km, Hesaplanan = 139 km, Fark = 1 km
Kiraz (19) - Kemalpaşa (17): Tanımlı = 124 km, Hesaplanan = 124 km, Fark = 0 km
Kiraz (19) - Kınık (18): Tanımlı = 211 km, Hesaplanan = 211 km, Fark = 0 km
Kiraz (19) - Konak (20): Tanımlı = 134 km, Hesaplanan = 133 km, Fark = 1 km
Kiraz (19) - Menderes (21): Tanımlı = 123 km, Hesaplanan = 122 km, Fark = 1 km
Kiraz (19) - Menemen (22): Tanımlı = 163 km, Hesaplanan = 159 km, Fark = 4 km
Kiraz (19) - Narlıdere (23): Tanımlı = 144 km, Hesaplanan = 143 km, Fark = 1 km
Kiraz (19) - Seferihisar (25): Tanımlı = 175 km, Hesaplanan = 174 km, Fark = 1 km
Kiraz (19) - Selçuk (26): Tanımlı = 102 km, Hesaplanan = 102 km, Fark = 0 km
Kiraz (19) - Tire (27): Tanımlı = 63 km, Hesaplanan = 62 km, Fark = 1 km
Kiraz (19) - Torbalı (28): Tanımlı = 94 km, Hesaplanan = 93 km, Fark = 1 km
Kiraz (19) - Urla (29): Tanımlı = 167 km, Hesaplanan = 166 km, Fark = 1 km
Konak (20) - Aliağa (0): Tanımlı = 63 km, Hesaplanan = 60 km, Fark = 3 km
Konak (20) - Bayındır (2): Tanımlı = 69 km, Hesaplanan = 69 km, Fark = 0 km
Konak (20) - Bergama (4): Tanımlı = 111 km, Hesaplanan = 107 km, Fark = 4 km
Konak (20) - Beydağ (5): Tanımlı = 133 km, Hesaplanan = 133 km, Fark = 0 km
Konak (20) - Çeşme (8): Tanımlı = 91 km, Hesaplanan = 90 km, Fark = 1 km
Konak (20) - Çiğli (9): Tanımlı = 19 km, Hesaplanan = 19 km, Fark = 0 km
Konak (20) - Dikili (10): Tanımlı = 123 km, Hesaplanan = 119 km, Fark = 4 km
Konak (20) - Foça (11): Tanımlı = 69 km, Hesaplanan = 67 km, Fark = 2 km
Konak (20) - Gaziemir (12): Tanımlı = 6 km, Hesaplanan = 6 km, Fark = 0 km
Konak (20) - Güzelbahçe (13): Tanımlı = 33 km, Hesaplanan = 33 km, Fark = 0 km
Konak (20) - Karaburun (15): Tanımlı = 108 km, Hesaplanan = 107 km, Fark = 1 km
Konak (20) - Karşıyaka (16): Tanımlı = 13 km, Hesaplanan = 13 km, Fark = 0 km
Konak (20) - Kemalpaşa (17): Tanımlı = 31 km, Hesaplanan = 31 km, Fark = 0 km
Konak (20) - Kınık (18): Tanımlı = 127 km, Hesaplanan = 123 km, Fark = 4 km
Konak (20) - Kiraz (19): Tanımlı = 134 km, Hesaplanan = 133 km, Fark = 1 km
Konak (20) - Menderes (21): Tanımlı = 41 km, Hesaplanan = 41 km, Fark = 0 km
Konak (20) - Menemen (22): Tanımlı = 38 km, Hesaplanan = 34 km, Fark = 4 km
Konak (20) - Narlıdere (23): Tanımlı = 22 km, Hesaplanan = 21 km, Fark = 1 km
Konak (20) - Ödemiş (24): Tanımlı = 105 km, Hesaplanan = 105 km, Fark = 0 km
Konak (20) - Seferihisar (25): Tanımlı = 53 km, Hesaplanan = 52 km, Fark = 1 km
Konak (20) - Selçuk (26): Tanımlı = 74 km, Hesaplanan = 74 km, Fark = 0 km
Konak (20) - Tire (27): Tanımlı = 83 km, Hesaplanan = 82 km, Fark = 1 km
Konak (20) - Torbalı (28): Tanımlı = 45 km, Hesaplanan = 45 km, Fark = 0 km
Konak (20) - Urla (29): Tanımlı = 45 km, Hesaplanan = 44 km, Fark = 1 km
Menderes (21) - Aliağa (0): Tanımlı = 96 km, Hesaplanan = 92 km, Fark = 4 km
Menderes (21) - Balçova (1): Tanımlı = 46 km, Hesaplanan = 46 km, Fark = 0 km
Menderes (21) - Bayındır (2): Tanımlı = 58 km, Hesaplanan = 58 km, Fark = 0 km
Menderes (21) - Bayraklı (3): Tanımlı = 42 km, Hesaplanan = 42 km, Fark = 0 km
Menderes (21) - Bergama (4): Tanımlı = 143 km, Hesaplanan = 139 km, Fark = 4 km
